,result
0,6
1,0
2,1
3,1
4,9
5,2
6,8
7,3
8,0
9,4
10,9
11,5
12,2
13,6
14,7
15,7
16,3
17,8
18,5
19,9
20,1
21,1
22,3
23,0
24,6
25,4
26,5
27,0
28,4
29,6
30,8
31,6
32,3
33,3
34,0
35,4
36,9
37,4
38,2
39,2
40,3
41,8
42,9
43,1
44,4
45,0
46,7
47,6
48,3
49,4
50,7
51,9
52,1
53,7
54,7
55,2
56,2
57,3
58,9
59,3
60,2
61,9
62,1
63,2
64,7
65,0
66,5
67,9
68,8
69,3
70,1
71,3
72,8
73,9
74,9
75,1
76,0
77,5
78,9
79,2
80,2
81,3
82,1
83,1
84,4
85,6
86,3
87,7
88,7
89,3
90,6
91,7
92,9
93,8
94,8
95,4
96,8
97,0
98,3
99,2
100,7
101,4
102,8
103,0
104,1
105,2
106,3
107,4
108,1
109,7
110,1
111,8
112,3
113,0
114,2
115,7
116,1
117,0
118,3
119,6
120,4
121,9
122,1
123,3
124,2
125,2
126,2
127,4
128,4
129,8
130,1
131,6
132,7
133,0
134,7
135,1
136,8
137,0
138,2
139,6
140,7
141,7
142,1
143,2
144,1
145,9
146,0
147,7
148,3
149,9
150,6
151,5
152,3
153,8
154,9
155,9
156,4
157,6
158,8
159,6
160,9
161,2
162,9
163,8
164,9
165,1
166,9
167,7
168,2
169,5
170,0
171,6
172,2
173,7
174,9
175,3
176,7
177,5
178,6
179,0
180,4
181,1
182,3
183,1
184,4
185,3
186,1
187,8
188,8
189,4
190,2
191,9
192,1
193,4
194,6
195,5
196,8
197,1
198,3
199,8
200,3
201,6
202,9
203,8
204,3
205,9
206,1
207,0
208,1
209,1
210,4
211,6
212,1
213,3
214,8
215,4
216,3
217,5
218,9
219,6
220,9
221,9
222,2
223,8
224,7
225,9
226,1
227,0
228,0
229,1
230,3
231,2
232,1
233,3
234,9
235,4
236,6
237,0
238,9
239,6
240,8
241,7
242,3
243,8
244,1
245,0
246,6
247,1
248,7
249,2
250,7
251,3
252,1
253,4
254,1
255,0
256,4
257,6
258,4
259,9
260,6
261,8
262,1
263,9
264,8
265,6
266,6
267,6
268,9
269,6
270,1
271,4
272,9
273,2
274,3
275,8
276,5
277,1
278,9
279,6
280,7
281,6
282,3
283,4
284,9
285,9
286,3
287,9
288,8
289,6
290,6
291,3
292,0
293,3
294,9
295,9
296,0
297,3
298,3
299,3
300,3
301,9
302,0
303,1
304,7
305,6
306,9
307,6
308,4
309,3
310,9
311,1
312,4
313,6
314,6
315,9
316,0
317,3
318,1
319,9
320,0
321,8
322,8
323,4
324,0
325,0
326,0
327,2
328,1
329,4
330,0
331,0
332,0
333,7
334,9
335,8
336,4
337,0
338,6
339,9
340,3
341,0
342,3
343,6
344,2
345,0
346,5
347,3
348,6
349,2
350,3
351,4
352,8
353,8
354,3
355,6
356,1
357,0
358,7
